Position,Player Name,Team,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,Hundreds,Fifties,Fours,Sixes,Image Link
22,Tristan Stubbs,DC,14,13,6,378,71*,54.00,198,190.90,0,3,24,26,https://scores.iplt20.com/ipl/playerimages/Tristan%20Stubbs.png?v=4
23,Venkatesh Iyer,KKR,15,13,5,370,70,46.25,233,158.79,0,4,35,19,https://scores.iplt20.com/ipl/playerimages/Venkatesh%20Iyer.png?v=4
24,Jos Buttler,RR,11,11,2,359,107*,39.89,255,140.78,2,0,36,12,https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png?v=4
25,Shashank Singh,PBKS,14,14,6,354,68*,44.25,215,164.65,0,2,28,21,https://scores.iplt20.com/ipl/playerimages/Shashank%20Singh.png?v=4
26,Shreyas Iyer,KKR,15,14,5,351,58*,39.00,239,146.86,0,2,34,14,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Iyer.png?v=4
27,Suryakumar Yadav,MI,11,11,1,345,102*,34.50,206,167.47,1,3,36,18,https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png?v=4
28,Prabhsimran Singh,PBKS,14,14,0,334,71,23.86,213,156.80,0,2,34,20,https://scores.iplt20.com/ipl/playerimages/Prabhsimran%20Singh.png?v=4
29,Jake Fraser - McGurk,DC,9,9,0,330,84,36.67,141,234.04,0,4,32,28,https://scores.iplt20.com/ipl/playerimages/Jake%20Fraser%20-%20McGurk.png?v=4
30,Abishek Porel,DC,14,12,2,327,65,32.70,205,159.51,0,2,36,13,https://scores.iplt20.com/ipl/playerimages/Abishek%20Porel.png?v=4
31,Dinesh Karthik,RCB,15,13,4,326,83,36.22,174,187.35,0,2,27,22,https://scores.iplt20.com/ipl/playerimages/Dinesh%20Karthik.png?v=4
32,Ishan Kishan,MI,14,14,0,320,69,22.86,215,148.83,0,1,35,16,https://scores.iplt20.com/ipl/playerimages/Ishan%20Kishan.png?v=4
33,Daryl Mitchell,CSK,13,13,2,318,63,28.91,223,142.60,0,2,27,10,https://scores.iplt20.com/ipl/playerimages/Daryl%20Mitchell.png?v=4
34,Nitish Kumar Reddy,SRH,13,11,2,303,76*,33.67,212,142.92,0,2,15,21,https://scores.iplt20.com/ipl/playerimages/Nitish%20Kumar%20Reddy.png?v=4
35,Jonny Bairstow,PBKS,11,11,1,298,108*,29.80,195,152.82,1,0,33,14,https://scores.iplt20.com/ipl/playerimages/Jonny%20Bairstow.png?v=4
36,Sam Curran,PBKS,13,12,2,270,63*,27.00,219,123.28,0,2,24,6,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png?v=4
37,Ravindra Jadeja,CSK,14,11,5,267,57*,44.50,187,142.78,0,1,22,8,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png?v=4
